id_for_matlab;hhid;training;lnpercapitaconsumption;groupprediction;groupprediction2
280;225004811;0;;5.795899746;5.796813247
281;388005611;0;;6.057989952;6.057776066
282;163110111;0;;6.713005864;6.717619045
283;13000211;0;;5.794161354;5.79519708
284;120310111;0;;6.313141946;6.31237756
285;218807812;0;;6.108593622;6.115133029
286;253911011;0;;5.356606736;5.356822874
287;33805511;0;;4.779054083;4.7791775
288;311006211;0;;6.166815632;6.165161526
289;195108211;0;;6.481172316;6.481514663
290;163010011;0;;5.749105323;5.74588702
291;83108211;0;;5.660363028;5.66089751
292;33011011;0;;5.027407203;5.025330144
293;23704911;0;;5.620932975;5.619525363
294;2403311;0;;6.471870476;6.472497757
295;47802611;0;;5.266829564;5.260261282
296;211501611;0;;6.397364235;6.398796557
297;315404411;0;;5.940983129;5.94265206
298;364109511;0;;6.156393064;6.156488291
299;341205211;0;;5.2100116;5.213344281
300;342216411;0;;6.389985757;6.388770407
301;176322111;0;;6.635498291;6.641989023
302;113903711;0;;6.122053124;6.12188177
303;308804811;0;;6.699135003;6.700292752
304;386207111;0;;5.844942344;5.843887986
305;322013422;0;;6.281358844;6.281594325
306;218105111;0;;6.229370526;6.228509263
307;291704411;0;;5.45505282;5.453532722
308;12907411;0;;6.014133238;6.014803324
309;115301111;0;;6.183161169;6.18314298
310;391208211;0;;5.051262213;5.051877215
311;254405411;0;;5.418948375;5.420918708
312;115902911;0;;5.859979556;5.859759382
313;294101211;0;;5.138092637;5.137043924
314;279301011;0;;5.488766527;5.490710993
315;163600711;0;;5.27009478;5.266095767
316;87701111;0;;5.782355988;5.783370294
317;233503111;0;;4.890082203;4.887544275
318;33004911;0;;5.450694522;5.452845522
319;155208911;0;;5.919663848;5.920156299
320;95606711;0;;5.207219104;5.204317329
321;163606711;0;;4.982407686;4.981207515
322;181010311;0;;7.472525054;7.474509775
323;23811211;0;;5.026348616;5.027742879
324;185205211;0;;5.982397922;5.981490583
325;135311111;0;;5.986583651;5.988191387
326;33501811;0;;5.079763673;5.081275324
327;181507311;0;;6.091837136;6.09330732
328;76108511;0;;4.711524548;4.716269331
329;108313211;0;;4.832541144;4.832145827
330;52502511;0;;6.109722705;6.109891697
331;2507511;0;;5.355585724;5.358830704
332;319211411;0;;5.480520499;5.481548367
333;181408811;0;;5.983628969;5.983075687
334;232302611;0;;4.699434852;4.699762876
335;237507311;0;;5.85902022;5.863074929
336;166305211;0;;5.864009872;5.862693729
337;257211211;0;;6.22205453;6.220168336
338;242502511;0;;5.173901892;5.171135622
339;32306711;0;;5.200139317;5.200309252
340;218007911;0;;5.858846247;5.858090112
341;152302811;0;;7.047667886;7.049422259
342;342411511;0;;5.836205779;5.835652641
343;386105611;0;;5.742923747;5.741807448
344;12101311;0;;5.264439515;5.264425811
345;145706211;0;;5.940178956;5.939290553
346;129907011;0;;6.151384294;6.154456342
347;290205811;0;;5.533432133;5.536881643
348;129800611;0;;6.062069027;6.063716699
349;116300611;0;;6.485610468;6.486643542
350;153002711;0;;5.705565418;5.706640046
351;245307611;0;;6.875769685;6.876154029
352;255602311;0;;4.822510872;4.821726239
353;141803422;0;;5.981564624;5.978555339
354;69208111;0;;5.683505276;5.684221707
355;154401211;0;;5.835769077;5.837703354
356;154101311;0;;5.544597981;5.546022549
357;34712111;0;;5.09859435;5.097072406
358;384507611;0;;6.192064797;6.194390922
359;344510811;0;;5.470651645;5.469458703
360;213301511;0;;6.120001423;6.120320832
361;153906811;0;;6.415852509;6.417174334
362;123410411;0;;6.497101873;6.495870941
363;244706111;0;;5.934240976;5.928985533
364;340102411;0;;5.227688864;5.223181722
365;170711322;0;;6.041717413;6.035963982
366;202506611;0;;6.386813064;6.385018635
367;162410211;0;;5.509252291;5.509340703
368;370808611;0;;5.980870821;5.98174455
369;305306711;0;;5.023102931;5.020651179
370;240004511;0;;6.188824011;6.186584092
371;208109211;0;;6.951216575;6.950817912
372;197403611;0;;6.344332394;6.345655012
373;145104911;0;;5.63564268;5.636704267
374;53607311;0;;5.276836842;5.273323433
375;10000711;0;;5.32527589;5.324961653
376;356008811;0;;5.984285784;5.984313095
377;293908011;0;;5.043775136;5.041911694
378;70613411;0;;5.272729073;5.270872736
379;383904811;0;;6.482013938;6.479063269
380;260201411;0;;5.299957837;5.301159278
381;126213311;0;;6.562912993;6.563265548
382;206502111;0;;6.828921366;6.830013075
383;277702212;0;;6.072107486;6.072107691
384;387606011;0;;6.188597876;6.188011643
385;240004511;0;;6.192149163;6.187364148
386;97003511;0;;5.329368897;5.330901848
387;316005511;0;;5.986884063;5.986565582
388;280607611;0;;5.00326166;5.005398533
389;220004211;0;;5.503774633;5.501503846
390;4507611;0;;6.324532642;6.326743332
391;30103011;0;;5.406671842;5.410651656
392;168508511;0;;6.183184032;6.182321478
393;141318511;0;;6.25990796;6.256571654
394;270007411;0;;6.571198859;6.57035051
395;312006911;0;;6.616959521;6.617069094
396;328312711;0;;5.362714393;5.359600095
397;210100611;0;;6.607563768;6.608482579
398;290902011;0;;5.243338383;5.243837388
399;154300611;0;;6.263093689;6.261943103
400;102700111;0;;5.301726649;5.30398474
401;109405611;0;;6.237093539;6.232780747
402;341205511;0;;5.993088356;5.994388441
403;63900711;0;;6.230214491;6.229014734
404;21905911;0;;4.936512017;4.937159668
405;352009611;0;;5.85549704;5.855679229
406;372806611;0;;5.665191989;5.666480717
407;59113711;0;;4.936512017;4.937159668
408;298811511;0;;6.222500279;6.223086756
409;339804511;0;;4.93010169;4.931975652
410;65201711;0;;6.486218356;6.487368458
411;38403911;0;;6.204499071;6.207044785
412;234601011;0;;4.812284174;4.811858828
413;240202211;0;;6.644177573;6.642071996
414;326602511;0;;6.204620154;6.20564864
415;342407711;0;;5.827101024;5.825951441
416;7806111;0;;5.096029473;5.09243187
417;334701111;0;;5.721339398;5.723467761
418;192311911;0;;7.008004726;7.007028362
419;276603012;0;;5.786758624;5.787637728
420;324600611;0;;5.940001802;5.940808456
421;163006911;0;;5.918272604;5.915904413
422;287905811;0;;5.235645864;5.23462439
423;98807311;0;;4.934706972;4.935542039
424;191907311;0;;7.109864189;7.11002671
425;276407211;0;;5.659652902;5.660356401
426;193604211;0;;6.732161358;6.726679618
427;182109511;0;;7.069200628;7.065946469
428;69603711;0;;5.248084398;5.246423546
429;22409211;0;;5.414081442;5.412627988
430;112200711;0;;6.212548513;6.212140289
431;235507411;0;;6.556552351;6.555317604
432;183202811;0;;6.438335799;6.44084634
433;22704911;0;;4.971469962;4.971726065
434;218204711;0;;6.722107227;6.720034706
435;98707911;0;;5.043196707;5.043425581
436;62800711;0;;5.557293995;5.558583738
437;25208311;0;;5.18551006;5.184659749
438;209700211;0;;6.424750984;6.426604602
439;212705511;0;;5.371641026;5.370801001
440;236108311;0;;6.117567691;6.117334202
441;314500911;0;;6.147579627;6.149081702
442;231914411;0;;5.389062911;5.385426709
443;123303111;0;;5.659316326;5.657465871
444;45700911;0;;5.633917597;5.634283405
445;84904411;0;;5.694860609;5.694091082
446;6306011;0;;5.255331746;5.257437462
447;215005811;0;;6.267910384;6.268070704
448;131802311;0;;6.324993995;6.323738361
449;317410911;0;;6.025449117;6.029337465
450;166200711;0;;6.546476749;6.548884118
451;298707811;0;;5.672865212;5.670788054
452;256009211;0;;5.346015142;5.346983894
453;307308211;0;;4.980452685;4.976194608
454;56000311;0;;5.823672826;5.825137458
455;6702711;0;;6.050760187;6.047753227
456;175908211;0;;6.146029312;6.146205025
457;177608011;0;;5.572462156;5.572981828
458;262711411;0;;5.365274172;5.364878212
459;330500111;0;;6.384411786;6.383582163
460;289007811;0;;5.189847392;5.18543867
461;160105711;0;;7.430316855;7.429354287
462;230304911;0;;5.307617901;5.307375239
463;147704611;0;;6.492307302;6.492605718
464;277200711;0;;5.521197986;5.523824809
465;298207211;0;;6.216784518;6.215892073
466;54707611;0;;6.103505758;6.104072804
467;42706911;0;;5.761645275;5.760845593
468;129711411;0;;6.553568925;6.553203974
469;98112711;0;;4.959023522;4.9597059
470;146808511;0;;6.04802379;6.052037765
471;214402811;0;;5.914040417;5.910638343
472;269210711;0;;5.807761803;5.80679512
473;233710611;0;;5.439540454;5.442087191
474;53902411;0;;6.387235692;6.386780722
475;137209611;0;;6.238609232;6.239550752
476;110603511;0;;6.017869724;6.019706324
477;133600111;0;;6.447712181;6.448205532
478;386609611;0;;5.603850212;5.604252933
479;82500411;0;;6.471032987;6.470041538
480;266704111;0;;6.284573323;6.287781352
481;156100211;0;;6.183161169;6.18314298
482;202306911;0;;6.854356784;6.8567084
483;221610511;0;;6.073331103;6.070836388
484;134011711;0;;5.159829821;5.158762964
485;100000111;0;;6.503935619;6.506732111
486;240502811;0;;5.974405316;5.973442511
487;107207811;0;;4.865470223;4.863335687
488;224503611;0;;6.447257111;6.443799953
489;52705611;0;;5.674837932;5.676869327
490;2701111;0;;5.089751686;5.091374695
491;265110411;0;;5.694085221;5.691746613
492;249406411;0;;6.764358521;6.766091738
493;56106911;0;;4.977365438;4.975597223
494;130509211;0;;6.176173235;6.174555357
495;151108511;0;;5.073358245;5.072423171
496;84201711;0;;4.881222341;4.880266805
497;304613511;0;;5.822035598;5.820263495
498;124104111;0;;5.894006178;5.889881465
499;218704311;0;;5.884645105;5.88142622
500;246309211;0;;6.406158146;6.405823814
501;66310711;0;;5.565670551;5.564579078
502;316600811;0;;5.394329643;5.390440001
503;323500211;0;;5.817985166;5.816424867
504;255709011;0;;5.180258963;5.181775247
505;307302911;0;;5.394248921;5.395311054
506;16405711;0;;6.399072814;6.399639493
507;305503511;0;;5.465224453;5.467139087
508;316607911;0;;5.808790714;5.810136086
509;41300611;0;;5.91892872;5.917423651
510;113402811;0;;5.92880725;5.927289343
511;22509911;0;;5.237136741;5.236314634
512;91410111;0;;5.39518028;5.397372344
513;177805111;0;;6.135003356;6.135723945
514;258703211;0;;6.211657972;6.217118587
515;219301611;0;;5.492865667;5.492015732
516;361929411;0;;6.20221157;6.20159021
517;82111211;0;;4.992696771;4.991580336
518;110903311;0;;6.419589809;6.417623219
519;124711311;0;;5.267812834;5.265559787
520;359403811;0;;5.218768577;5.216454144
521;23409611;0;;5.872111654;5.869065217
522;189202611;0;;6.62693519;6.623244994
523;9103711;0;;5.074254541;5.076510964
524;59506711;0;;4.894382758;4.896534032
525;204307011;0;;6.239379934;6.240230975
526;25105111;0;;5.316047901;5.315252491
527;261902011;0;;6.109957451;6.111401278
528;159306711;0;;6.327477895;6.327355321
529;203106411;0;;6.761226445;6.759870808
530;107205411;0;;5.317117443;5.315898871
531;70905011;0;;4.991259138;4.988794135
532;53507211;0;;4.977365438;4.975597223
533;144906911;0;;6.447712181;6.448205532
534;36604311;0;;7.109864189;7.11002671
535;47601711;0;;5.458209634;5.45712833
536;212202711;0;;6.283194295;6.28130183
537;261401511;0;;5.498963252;5.498715335
538;87606511;0;;4.873589991;4.869166692
539;163207511;0;;5.942556791;5.940472049
540;297910711;0;;6.815106025;6.813191665
541;243107911;0;;5.441637208;5.447163168
542;98202711;0;;5.748780328;5.750097693
543;264301011;0;;6.025475229;6.025877827
544;295800111;0;;5.973432127;5.972436744
545;324602211;0;;5.88240369;5.882315227
546;17304011;0;;6.05515138;6.057902798
547;199306211;0;;6.289007447;6.291283522
548;60508111;0;;5.277667682;5.279113782
549;365800711;0;;6.181900831;6.182464053
550;146400511;0;;6.402075424;6.403447048
551;169505911;0;;6.168134639;6.169486583
552;176508611;0;;6.665974125;6.667944261
553;85708711;0;;5.584149964;5.584099877
554;182802622;0;;6.085681888;6.084608394
555;279301122;0;;5.850924188;5.846988679
556;183204011;0;;6.137318196;6.142822642
557;241802411;0;;6.321512577;6.319323237
558;225508711;0;;5.381739061;5.381300724
559;270004811;0;;6.349602438;6.348206549
560;148604911;0;;6.041462033;6.04015111
561;109003511;0;;5.960108965;5.961256772
562;94206211;0;;5.157765392;5.157280628
563;13603011;0;;6.100894861;6.10455928
564;314204011;0;;5.9662563;5.965694596
565;155606012;0;;6.199389761;6.19615406
566;321103211;0;;6.405582989;6.407396657
567;272700211;0;;6.509253057;6.506671485
568;161611711;0;;6.033765043;6.034408705
569;315804911;0;;6.106715833;6.103732411
570;323301822;0;;6.038420745;6.039414497
571;336201111;0;;5.565675672;5.567075882
572;305708711;0;;5.042087434;5.047574785
573;313210811;0;;5.743671014;5.744078581
574;34611411;0;;4.971263591;4.975311256
575;259800211;0;;5.939832909;5.93997146
576;204000311;0;;6.415109632;6.41690793
577;295902211;0;;6.069495267;6.061805891
578;304310511;0;;4.86973393;4.86779087
579;39001511;0;;7.07725387;7.07827267
580;183702611;0;;6.102287817;6.103977744
581;137102511;0;;6.362320519;6.362495089
582;301902911;0;;6.559353384;6.563103449
583;26500711;0;;5.930459224;5.933654577
584;134609511;0;;5.370532585;5.374584978
585;281010211;0;;5.292562892;5.293936015
586;173504211;0;;6.191548277;6.192999176
587;328501111;0;;5.422847074;5.422427117
588;120511211;0;;6.092388389;6.097826331
589;172208313;0;;6.537311928;6.534042155
590;133906711;0;;5.203723123;5.2038401
591;331609311;0;;5.851180779;5.850929553
592;87205711;0;;5.323477598;5.325196124
593;320506911;0;;6.025603196;6.025087668
594;23404911;0;;5.141475068;5.142085352
595;111010211;0;;5.470001555;5.470171225
596;362208211;0;;6.73904166;6.739444866
597;139906411;0;;6.337821747;6.338047457
598;45106811;0;;6.641916316;6.643512834
599;316101411;0;;6.276311152;6.275059652
600;205100511;0;;6.864518298;6.865790671
601;198706011;0;;6.594128264;6.593926005
602;136502011;0;;5.523049404;5.521970151
603;87207911;0;;4.949308417;4.950815451
604;87401911;0;;4.897259022;4.896492427
605;131010311;0;;6.737015153;6.732219767
606;291902511;0;;5.257740597;5.255495718
607;284309511;0;;6.385326641;6.385124956
608;12101311;0;;5.264439515;5.264425811
609;390605311;0;;6.03569705;6.029920244
610;322403011;0;;6.768326704;6.768809743
611;185201922;0;;6.177578006;6.175487846
612;220509611;0;;5.565528904;5.566368389
613;222402711;0;;5.920450258;5.919237411
614;227001111;0;;5.426815271;5.427725056
615;54808711;0;;5.068296532;5.068921405
616;158803211;0;;6.34487424;6.34404818
617;95401611;0;;5.105206722;5.106873093
618;46706411;0;;5.713582361;5.714293964
619;95301711;0;;4.832541144;4.832145827
620;354021011;0;;5.34270871;5.341457619
621;75404811;0;;5.741190659;5.742277912
622;102910211;0;;5.361727881;5.359819697
623;292008011;0;;4.77758139;4.778332873
624;299400911;0;;6.386575202;6.387007389
625;25605811;0;;4.763247721;4.763887429
626;54409411;0;;5.475732116;5.477225653
627;141002611;0;;6.402918293;6.403472254
628;378910211;0;;6.067367692;6.067212245
629;197002512;0;;6.19045778;6.191549431
630;88808111;0;;5.78060988;5.781584619
631;109806911;0;;6.137616676;6.141218686
632;265908411;0;;5.005688798;5.008190245
633;70500311;0;;5.607989322;5.607774194
634;271604511;0;;6.346273368;6.34635501
635;56205611;0;;4.981778308;4.984074182
636;93407011;0;;4.964262172;4.96204968
637;215706111;0;;6.177504559;6.176713837
638;162901711;0;;5.203119111;5.203141265
639;242008411;0;;5.988833415;5.988857861
640;303607711;0;;6.277486404;6.279928983
641;119900511;0;;6.336251873;6.336896265
642;105407511;0;;5.093222485;5.093608984
643;48202211;0;;5.098914349;5.099176375
644;182400811;0;;6.294111565;6.294094675
645;183405211;0;;6.986183248;6.985087312
646;319303511;0;;5.445074631;5.440308673
647;361416211;0;;6.193563185;6.191996685
648;143709311;0;;6.160326683;6.159527723
649;210306111;0;;6.313145113;6.310747462
650;179908511;0;;6.058441169;6.057689171
651;83512011;0;;4.839315228;4.836455323
652;137206511;0;;6.188551454;6.188265387
653;73208811;0;;5.245590173;5.246936959
654;234603611;0;;5.056729394;5.054257434
655;150503811;0;;5.300386657;5.300759559
656;301506411;0;;6.285145074;6.280934899
657;373200111;0;;6.562304603;6.562001919
658;66307511;0;;5.915218534;5.914686441
659;173704011;0;;5.985271763;5.987504174
660;259702911;0;;5.55303019;5.552237692
661;212908111;0;;5.97036362;5.968225574
662;355001911;0;;6.32997389;6.334271997
663;10700211;0;;5.325445382;5.321982796
